ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y
1,01213160-4b43-45f3-8303-9c13595ba459,1024,Interface_Urbana,4/25/2022 3:00:00 PM,Montevideo,cecoed,,5/24/2022 6:32:27 PM,sinae_covid_19,5/24/2022 8:31:47 PM,sinae_covid_19,-56.1665397551518,-34.7912705872051
2,56fab073-21cd-4993-8b4b-509805e6743e,1006,De_Campo,4/13/2022 3:00:00 PM,Colonia,sgsp,,5/24/2022 6:42:52 PM,sinae_covid_19,6/15/2022 5:21:25 PM,sinae_covid_19,-57.7538394927814,-34.4360623259864
3,22cf3c48-9e98-4b0f-874e-091ec277204f,874,Interface_Urbana,1/20/2022 3:00:00 PM,Salto,cecoed,,5/24/2022 6:58:14 PM,sinae_covid_19,5/24/2022 8:30:49 PM,sinae_covid_19,-57.9676501465618,-31.3960775868321
4,9e5559ab-4bc4-4580-bbfa-de536e017cdc,861,Interface_Urbana,1/15/2022 3:00:00 PM,Lavalleja,cecoed,,5/24/2022 7:05:43 PM,sinae_covid_19,5/24/2022 8:29:58 PM,sinae_covid_19,-55.2329368524733,-34.3638737151739
5,bd3077f1-85df-417c-b3a4-5690457a42ba,973,Interface_Urbana,1/14/2022 3:00:00 PM,Montevideo,sgsp,,5/24/2022 7:15:10 PM,sinae_covid_19,5/24/2022 8:29:13 PM,sinae_covid_19,-56.1563054934995,-34.8123117080128
6,fc99daeb-5dd6-4cd5-98f9-63da147e4ef0,972,Interface_Urbana,1/14/2022 3:00:00 PM,Florida,sgsp,,5/24/2022 7:24:12 PM,sinae_covid_19,5/24/2022 8:21:55 PM,sinae_covid_19,-56.3321837020567,-33.7331882915413
7,e3fb9f22-7e58-4e1e-b0d1-0cbcf2237e44,971,De_Campo,1/14/2022 3:00:00 PM,Lavalleja,sgsp,1,5/24/2022 7:46:31 PM,sinae_covid_19,5/24/2022 8:39:50 PM,sinae_covid_19,-55.4062707040021,-34.4294519661791
8,bf82604a-a4e8-41c8-b3cb-2780f7f6e879,974,De_Campo,1/14/2022 3:00:00 PM,Colonia,sgsp,,5/24/2022 8:09:00 PM,sinae_covid_19,5/24/2022 8:38:26 PM,sinae_covid_19,-56.13824675,-34.8985995
9,c521341c-4dc9-4e1d-8af9-379d03dc5293,968,De_Campo,1/14/2022 3:00:00 PM,Durazno,sgsp,,5/25/2022 12:42:20 PM,sinae_covid_19,5/25/2022 12:42:20 PM,sinae_covid_19,-56.5100039182913,-33.402288021167
10,42b242bf-d369-4a63-bf21-2b36b56596f4,970,De_Campo,1/14/2022 3:00:00 PM,Rocha,sgsp,30,5/25/2022 12:52:39 PM,sinae_covid_19,5/25/2022 12:52:39 PM,sinae_covid_19,-53.7629688512375,-33.2479524348016
11,60e439e7-49ec-4c4c-b4a5-405e2ca8a8c8,969,Interface_Urbana,1/14/2022 3:00:00 PM,Montevideo,sgsp,,5/25/2022 12:56:55 PM,sinae_covid_19,5/25/2022 12:56:55 PM,sinae_covid_19,-56.2709867768506,-34.853113263439
